"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
8,3,"emelec",6,2011,3.4,-7.695,"NO",0.372175185294093,1.9538042909183,19.0487443918535
4,4,"wilstermann",6,2011,1.23,-9.865,"NO",0.331775587313224,1.9538042909183,16.9810041289902
16,1,"cruzeiro",7,2011,42,3.58,"SI",0.598246912284937,2.02570586015935,29.5327630753794
10,2,"estudiantes de la plata",7,2011,72.4,33.98,"SI",0.946927439754252,2.02570586015935,46.7455546423588
8,3,"deportes tolima",7,2011,32.25,-6.17,"NO",0.401716473232565,2.02570586015935,19.8309380020733
0,4,"guarani",7,2011,7.03,-31.39,"NO",0.0788150348875942,2.02570586015935,3.89074428018855
10,1,"ldu quito",8,2011,11.7,-23.8,"SI",0.137225850806952,2.10946255535195,6.50525179784747
9,2,"penarol",8,2011,31.4,-4.1,"SI",0.442944963441542,2.10946255535195,20.9980007617457
8,3,"independiente de avellaneda",8,2011,55.6,20.1,"NO",0.851661945000292,2.10946255535195,40.3734089917609
7,4,"godoy cruz",8,2011,43.3,7.8,"NO",0.677629796103161,2.10946255535195,32.1233384486459
13,1,"santos fc",1,2012,87.8,50.23,"SI",0.985356917926357,1.92614253138389,51.1570095084501
8,2,"sport internacional",1,2012,52.8,15.23,"SI",0.794107107266755,1.92614253138389,41.2278475932
7,3,"the strongest",1,2012,1.5,-36.07,"NO",0.0551552113138909,1.92614253138389,2.86350622631562
6,4,"juan aurich",1,2012,8.18,-29.39,"NO",0.0915232948768865,1.92614253138389,4.75163667203429
10,1,"lanus",2,2012,32.3,7.23,"SI",0.667375103389162,2.05692262005147,32.4453188896558
9,2,"emelec",2,2012,2.65,-22.42,"SI",0.151126658693172,2.05692262005147,7.34722138888191
8,3,"flamengo",2,2012,49.1,24.03,"NO",0.887827559796924,2.05692262005147,43.1629051643522
7,4,"olimpia",2,2012,16.23,-8.84,"NO",0.350593298172211,2.05692262005147,17.0445545571101
10,1,"union espanola",3,2012,9.88,-1.7525,"SI",0.490638680221873,2.10316978537516,23.3285340838211
10,2,"bolivar",3,2012,3.9,-7.7325,"SI",0.371459669405132,2.10316978537516,17.6618964378509
7,3,"junior fc",3,2012,15.1,3.4675,"NO",0.596036089416097,2.10316978537516,28.3398940761112
6,4,"universidad catolica",3,2012,17.65,6.0175,"NO",0.64503534633206,2.10316978537516,30.6696754022167
